featureid	PC1	PC2	PC3	feature_id	TimePointInWeeks	Taxon	kingdom	phylum	class	order	family	genus	species	Confidence
43	-0.5395924600287753	-0.06017795994444973	-1.3898399619231816	97651a1af7deca166a9b9c76a89ab6aa	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
44	-0.5396556200344078	-0.05812968723516941	-1.4302095227908735	97651a1af7deca166a9b9c76a89ab6aa	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
45	-0.5397052622908257	-0.059022785344489376	-1.3886913394381895	97651a1af7deca166a9b9c76a89ab6aa	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
46	-0.5396782963194763	-0.05728681018914593	-1.4926955287265642	97651a1af7deca166a9b9c76a89ab6aa	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
47	-0.5396464162496452	-0.05939159552231779	-1.4339661718654821	97651a1af7deca166a9b9c76a89ab6aa	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
48	-0.5399028775468276	-0.05679471025254339	-1.4053666595357142	97651a1af7deca166a9b9c76a89ab6aa	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.7204861475274628
49	-0.5013712890617783	-0.05009703921583496	-1.370266949488288	5a1b49ed2eeb1f595a07330646fa90d6	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
50	-0.49543521391613393	-0.05116558714856345	-1.3533885447851672	5a1b49ed2eeb1f595a07330646fa90d6	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
51	-0.5041229893988545	-0.0494776728023508	-1.3668991466094156	5a1b49ed2eeb1f595a07330646fa90d6	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
52	-0.5109513734988339	-0.05021364565619321	-1.3530041318585078	5a1b49ed2eeb1f595a07330646fa90d6	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
53	-0.5072421543116059	-0.048783085479271	-1.3878115253333656	5a1b49ed2eeb1f595a07330646fa90d6	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
54	-0.5028569917978736	-0.0505175700249383	-1.3681563956046872	5a1b49ed2eeb1f595a07330646fa90d6	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
55	-0.5381337171182342	-0.048377562064835816	-1.3585849111706216	5a1b49ed2eeb1f595a07330646fa90d6	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_UCG-001; s__uncultured_Bacteroidales	nan	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-001	uncultured_Bacteroidales	0.9471500843647
56	-0.5369477099014803	-0.04764208669057807	-1.3505660562496797	7bc78540b7e0bab3ed4670b4dc7ae979	14.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
57	-0.5364906022868332	-0.048646879239066465	-1.3431304211104635	7bc78540b7e0bab3ed4670b4dc7ae979	9.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
58	-0.5371596046545695	-0.047059675047645244	-1.3490823998337704	7bc78540b7e0bab3ed4670b4dc7ae979	12.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
59	-0.537685424542501	-0.04775173575618297	-1.342961071322038	7bc78540b7e0bab3ed4670b4dc7ae979	11.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
60	-0.5373997960264737	-0.046406530583902775	-1.3582951673209518	7bc78540b7e0bab3ed4670b4dc7ae979	18.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
61	-0.5370621164777296	-0.048037526343264386	-1.349636269999371	7bc78540b7e0bab3ed4670b4dc7ae979	6.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
62	-0.5397786015908912	-0.04602520290305499	-1.3454196353562142	7bc78540b7e0bab3ed4670b4dc7ae979	3.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium	nan	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium	0.8647435035335485
63	-0.5290575798631666	-0.04682774096036521	-1.3738406608078622	2c84a40f19efd36d4e86812cf7091ac5	14.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
64	-0.5273853481501722	-0.04781138486161915	-1.3552493524272309	2c84a40f19efd36d4e86812cf7091ac5	9.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
65	-0.5298327520864651	-0.046257587786506585	-1.3701310766980133	2c84a40f19efd36d4e86812cf7091ac5	12.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
66	-0.5317563531461436	-0.046935082157135335	-1.3548259273825816	2c84a40f19efd36d4e86812cf7091ac5	11.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
67	-0.5307114415162966	-0.04561819056031838	-1.3931657466604903	2c84a40f19efd36d4e86812cf7091ac5	18.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
68	-0.5294761121712025	-0.04721485748831322	-1.371515917516412	2c84a40f19efd36d4e86812cf7091ac5	6.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
69	-0.5394137995090363	-0.045244888978604306	-1.3609730716785453	2c84a40f19efd36d4e86812cf7091ac5	3.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_intestinalis	0.9682147230367951
70	-0.5275713783655582	-0.047894407053922936	-1.3864295271743563	456995cfe33fb271939359fb93d62adc	14.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	nan	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	nan	0.9999958241056862
