"comp","KW_pvalue","aov_pvalue","Sex","TimePointInWeeks","Metrics","KW_padj","aov_padj"
"CS - CSR",0.582,0.7723,"M",9,"Observed_ASVs",1,0.9999
"CS - VF",0.9455,0.9238,"M",9,"Observed_ASVs",1,0.9999
"CSR - VF",0.5916,0.9203,"M",9,"Observed_ASVs",1,0.9999
"CS - CSR",0.1467,0.5543,"F",9,"Observed_ASVs",1,0.9999
"CS - VF",0.2595,0.4226,"F",9,"Observed_ASVs",1,0.9999
"CSR - VF",0.5475,0.9831,"F",9,"Observed_ASVs",1,0.9999
"CS - CSR",0.7576,0.9554,"M",12,"Observed_ASVs",1,0.9999
"CS - VF",0.4087,0.8601,"M",12,"Observed_ASVs",1,0.9999
"CSR - VF",0.3041,0.7327,"M",12,"Observed_ASVs",1,0.9999
"CS - CSR",0.8181,0.9348,"F",12,"Observed_ASVs",1,0.9999
"CS - VF",0.6572,0.8528,"F",12,"Observed_ASVs",1,0.9999
"CSR - VF",0.5308,0.6876,"F",12,"Observed_ASVs",1,0.9999
"CS - CSR",0.2575,0.46,"M",3,"Shannon_Index",1,0.9999
"CS - VF",0.7218,0.9694,"M",3,"Shannon_Index",1,0.9999
"CSR - VF",0.125,0.3002,"M",3,"Shannon_Index",1,0.9999
"CS - CSR",0.6973,0.9725,"F",3,"Shannon_Index",1,0.9999
"CS - VF",0.9765,0.9777,"F",3,"Shannon_Index",1,0.9999
"CSR - VF",0.6985,0.8996,"F",3,"Shannon_Index",1,0.9999
"CS - CSR",0.8466,0.9818,"M",6,"Shannon_Index",1,0.9999
"CS - VF",0.4152,0.8743,"M",6,"Shannon_Index",1,0.9999
"CSR - VF",0.3083,0.7705,"M",6,"Shannon_Index",1,0.9999
"CS - CSR",0.1839,0.5956,"F",6,"Shannon_Index",1,0.9999
"CS - VF",0.3965,0.65,"F",6,"Shannon_Index",1,0.9999
"CSR - VF",0.5536,0.986,"F",6,"Shannon_Index",1,0.9999
"CS - CSR",0.4606,0.5031,"M",14,"Shannon_Index",1,0.9999
"CS - VF",0.4929,0.6089,"M",14,"Shannon_Index",1,0.9999
"CSR - VF",0.8419,0.8963,"M",14,"Shannon_Index",1,0.9999
"CS - CSR",0.1548,0.194,"F",14,"Shannon_Index",1,0.9999
"CS - VF",0.2094,0.3361,"F",14,"Shannon_Index",1,0.9999
"CSR - VF",1,0.9365,"F",14,"Shannon_Index",1,0.9999
"CS - CSR",0.9757,0.9287,"M",11,"Shannon_Index",1,0.9999
"CS - VF",0.7126,0.9486,"M",11,"Shannon_Index",1,0.9999
"CSR - VF",0.7196,0.9968,"M",11,"Shannon_Index",1,0.9999
"CS - CSR",0.9303,0.9971,"F",11,"Shannon_Index",1,0.9999
"CS - VF",0.2758,0.4065,"F",11,"Shannon_Index",1,0.9999
"CSR - VF",0.3148,0.3696,"F",11,"Shannon_Index",1,0.9999
"CS - CSR",0.8968,0.9175,"M",18,"Shannon_Index",1,0.9999
"CS - VF",0.643,0.8906,"M",18,"Shannon_Index",1,0.9999
"CSR - VF",0.576,0.6893,"M",18,"Shannon_Index",1,0.9999
"CS - CSR",0.4392,0.8008,"F",18,"Shannon_Index",1,0.9999
"CS - VF",0.7806,0.9914,"F",18,"Shannon_Index",1,0.9999
"CSR - VF",0.5612,0.7305,"F",18,"Shannon_Index",1,0.9999
"CS - CSR",0.4386,0.7411,"M",9,"Shannon_Index",1,0.9999
"CS - VF",0.9412,0.9986,"M",9,"Shannon_Index",1,0.9999
"CSR - VF",0.3655,0.7293,"M",9,"Shannon_Index",1,0.9999
"CS - CSR",0.1352,0.9255,"F",9,"Shannon_Index",1,0.9999
"CS - VF",0.027,0.4015,"F",9,"Shannon_Index",1,0.9999
"CSR - VF",0.2443,0.5959,"F",9,"Shannon_Index",1,0.9999
"CS - CSR",1,0.9886,"M",12,"Shannon_Index",1,0.9999
"CS - VF",1,0.8632,"M",12,"Shannon_Index",1,0.9999
"CSR - VF",1,0.8183,"M",12,"Shannon_Index",1,0.9999
"CS - CSR",0.127,0.3299,"F",12,"Shannon_Index",1,0.9999
"CS - VF",0.8991,0.9858,"F",12,"Shannon_Index",1,0.9999
"CSR - VF",0.1308,0.2507,"F",12,"Shannon_Index",1,0.9999
"CS - CSR",0.1821,0.4916,"M",3,"Pielou_evenness",1,0.9999
"CS - VF",0.9285,0.9634,"M",3,"Pielou_evenness",1,0.9999
"CSR - VF",0.1851,0.607,"M",3,"Pielou_evenness",1,0.9999
"CS - CSR",0.5607,0.6447,"F",3,"Pielou_evenness",1,0.9999
"CS - VF",0.853,0.8618,"F",3,"Pielou_evenness",1,0.9999
"CSR - VF",0.4224,0.3153,"F",3,"Pielou_evenness",1,0.9999
"CS - CSR",0.7463,0.9911,"M",6,"Pielou_evenness",1,0.9999
"CS - VF",0.7262,0.9456,"M",6,"Pielou_evenness",1,0.9999
"CSR - VF",0.9978,0.892,"M",6,"Pielou_evenness",1,0.9999
"CS - CSR",0.0459,0.0883,"F",6,"Pielou_evenness",1,0.9999
"CS - VF",0.2306,0.4454,"F",6,"Pielou_evenness",1,0.9999
"CSR - VF",0.3218,0.5091,"F",6,"Pielou_evenness",1,0.9999
"CS - CSR",0.6127,0.7397,"M",14,"Pielou_evenness",1,0.9999
"CS - VF",0.831,0.8881,"M",14,"Pielou_evenness",1,0.9999
"CSR - VF",0.7303,0.9155,"M",14,"Pielou_evenness",1,0.9999
"CS - CSR",0.1056,0.1757,"F",14,"Pielou_evenness",1,0.9999
"CS - VF",0.0561,0.0761,"F",14,"Pielou_evenness",1,0.9999
"CSR - VF",0.2254,0.2531,"F",14,"Pielou_evenness",1,0.9999
"CS - CSR",0.7024,0.7595,"M",11,"Pielou_evenness",1,0.9999
"CS - VF",0.8944,0.9857,"M",11,"Pielou_evenness",1,0.9999
"CSR - VF",0.5739,0.8124,"M",11,"Pielou_evenness",1,0.9999
"CS - CSR",0.4035,0.594,"F",11,"Pielou_evenness",1,0.9999
"CS - VF",0.9857,0.9999,"F",11,"Pielou_evenness",1,0.9999
"CSR - VF",0.3704,0.5706,"F",11,"Pielou_evenness",1,0.9999
"CS - CSR",0.7299,0.8715,"M",18,"Pielou_evenness",1,0.9999
"CS - VF",0.7979,0.9835,"M",18,"Pielou_evenness",1,0.9999
"CSR - VF",0.5565,0.781,"M",18,"Pielou_evenness",1,0.9999
"CS - CSR",0.3873,0.8857,"F",18,"Pielou_evenness",1,0.9999
"CS - VF",0.7502,0.9131,"F",18,"Pielou_evenness",1,0.9999
"CSR - VF",0.5191,0.6992,"F",18,"Pielou_evenness",1,0.9999
"CS - CSR",0.2858,0.5661,"M",9,"Pielou_evenness",1,0.9999
"CS - VF",0.8007,0.8689,"M",9,"Pielou_evenness",1,0.9999
"CSR - VF",0.181,0.3071,"M",9,"Pielou_evenness",1,0.9999
"CS - CSR",1,0.9805,"F",9,"Pielou_evenness",1,0.9999
"CS - VF",0.3022,0.3911,"F",9,"Pielou_evenness",1,0.9999
"CSR - VF",0.3022,0.3161,"F",9,"Pielou_evenness",1,0.9999
"CS - CSR",0.4307,0.9443,"M",12,"Pielou_evenness",1,0.9999
"CS - VF",0.2316,0.6348,"M",12,"Pielou_evenness",1,0.9999
"CSR - VF",0.0846,0.5086,"M",12,"Pielou_evenness",1,0.9999
"CS - CSR",0.0644,0.1171,"F",12,"Pielou_evenness",1,0.9999
"CS - VF",1,0.9674,"F",12,"Pielou_evenness",1,0.9999
"CSR - VF",0.0545,0.131,"F",12,"Pielou_evenness",1,0.9999
